job_title,required_skills,salary_usd,experience_level,industry,salary_bucket
ml ops engineer,"docker, r, linux",158808.0,Se,Media,150–200K
ai research scientist,"data visualization, statistics, r",174663.0,Se,Media,150–200K
ai research scientist,"scala, java, tableau",46753.0,En,Manufacturing,<50K
ai software engineer,"java, azure, gcp",69020.0,Mi,Energy,50–100K
ai specialist,"deep learning, git, data visualization, linux, java",288815.0,Ex,Manufacturing,200K+
ai consultant,"hadoop, aws, linux, docker, statistics",124871.0,Ex,Media,100–150K
ai architect,"deep learning, sql, mathematics",70391.0,Mi,Government,50–100K
research scientist,"linux, r, azure, mathematics, git",115376.0,Ex,Technology,100–150K
research scientist,"docker, tableau, mathematics",106579.0,Mi,Gaming,100–150K
data scientist,"r, pytorch, kubernetes, computer vision",135230.0,Se,Consulting,100–150K
research scientist,"python, tableau, tensorflow, aws",67607.0,Mi,Media,50–100K
ai architect,"azure, kubernetes, tensorflow, statistics, spark",88470.0,Mi,Real Estate,50–100K
autonomous systems engineer,"python, docker, gcp, scala",79863.0,Mi,Automotive,50–100K
machine learning engineer,"git, linux, python, tensorflow, mathematics",60299.0,En,Finance,50–100K
machine learning engineer,"pytorch, computer vision, r",85645.0,Mi,Transportation,50–100K
ai software engineer,"r, spark, aws",110222.0,Se,Media,100–150K
data scientist,"tableau, nlp, azure, statistics, pytorch",49365.0,En,Finance,<50K
data scientist,"tensorflow, azure, computer vision, data visualization",162296.0,Se,Finance,150–200K
ai consultant,"tensorflow, scala, docker, statistics",102382.0,Mi,Education,100–150K
ai software engineer,"java, r, deep learning, nlp, azure",99972.0,Mi,Technology,50–100K
data engineer,"java, git, deep learning",64129.0,En,Manufacturing,50–100K
ai specialist,"mathematics, spark, python, aws",87938.0,Se,Education,50–100K
autonomous systems engineer,"sql, java, mlops, linux, pytorch",71405.0,Mi,Retail,50–100K
machine learning engineer,"python, scala, statistics, git",316182.0,Ex,Finance,200K+
machine learning researcher,"hadoop, python, kubernetes, azure",72459.0,En,Gaming,50–100K
principal data scientist,"mlops, kubernetes, git, python",78338.0,Mi,Technology,50–100K
nlp engineer,"aws, kubernetes, azure",51907.0,Mi,Healthcare,50–100K
autonomous systems engineer,"pytorch, kubernetes, git, sql",122831.0,Se,Real Estate,100–150K
machine learning researcher,"nlp, azure, statistics, spark, mathematics",124820.0,Mi,Real Estate,100–150K
autonomous systems engineer,"linux, r, tableau",134200.0,Se,Retail,100–150K
data engineer,"scala, r, tableau, data visualization",51920.0,En,Consulting,50–100K
data engineer,"mathematics, kubernetes, spark",56427.0,En,Energy,50–100K
ai product manager,"kubernetes, spark, statistics, scala",213783.0,Ex,Energy,200K+
ml ops engineer,"mlops, sql, statistics",59728.0,Mi,Finance,50–100K
computer vision engineer,"scala, mlops, nlp",119432.0,Se,Technology,100–150K
ai research scientist,"pytorch, linux, sql",284486.0,Ex,Consulting,200K+
data analyst,"git, kubernetes, tensorflow, r, java",157597.0,Ex,Manufacturing,150–200K
ml ops engineer,"r, tableau, sql, mlops, docker",196942.0,Ex,Gaming,150–200K
machine learning researcher,"nlp, azure, spark, data visualization",207548.0,Ex,Energy,200K+
nlp engineer,"java, sql, spark, tableau, azure",68838.0,Mi,Automotive,50–100K
ml ops engineer,"docker, python, git, kubernetes, java",125666.0,Ex,Telecommunications,100–150K
nlp engineer,"git, mlops, hadoop, python, spark",73174.0,En,Finance,50–100K
autonomous systems engineer,"sql, kubernetes, docker",33314.0,En,Manufacturing,<50K
ai specialist,"r, nlp, sql, gcp",69914.0,En,Transportation,50–100K
principal data scientist,"spark, sql, python, mathematics, linux",152118.0,Ex,Automotive,150–200K
ai software engineer,"pytorch, hadoop, scala, computer vision",78014.0,En,Real Estate,50–100K
research scientist,"hadoop, spark, kubernetes, python",48466.0,En,Automotive,<50K
data analyst,"hadoop, python, tensorflow, r, statistics",97997.0,Se,Technology,50–100K
principal data scientist,"computer vision, pytorch, gcp, linux",128341.0,Se,Finance,100–150K
ai research scientist,"java, hadoop, mathematics",111528.0,Mi,Real Estate,100–150K
machine learning researcher,"linux, r, nlp, pytorch, git",138945.0,Ex,Education,100–150K
nlp engineer,"statistics, python, tensorflow, pytorch, git",98688.0,Se,Manufacturing,50–100K
data analyst,"kubernetes, scala, java",109029.0,Se,Technology,100–150K
nlp engineer,"deep learning, statistics, computer vision, tensorflow, mathematics",84797.0,Mi,Real Estate,50–100K
machine learning researcher,"python, aws, kubernetes, deep learning",290199.0,Ex,Retail,200K+
ai research scientist,"aws, kubernetes, docker, mathematics, mlops",195691.0,Se,Transportation,150–200K
ai product manager,"scala, git, java",193448.0,Se,Consulting,150–200K
ai product manager,"azure, aws, pytorch, gcp, hadoop",138466.0,Ex,Government,100–150K
data analyst,"spark, mathematics, pytorch, sql, tensorflow",91577.0,Mi,Transportation,50–100K
computer vision engineer,"sql, python, deep learning",92875.0,Mi,Real Estate,50–100K
data engineer,"tensorflow, gcp, pytorch, spark",213287.0,Ex,Healthcare,200K+
nlp engineer,"git, sql, pytorch, mathematics",62171.0,Mi,Consulting,50–100K
ai research scientist,"data visualization, pytorch, spark, tensorflow",152658.0,Ex,Automotive,150–200K
ml ops engineer,"tensorflow, sql, nlp, computer vision, git",95085.0,Mi,Retail,50–100K
deep learning engineer,"java, r, git, mathematics, spark",86750.0,Mi,Government,50–100K
ai specialist,"pytorch, docker, gcp",64261.0,Mi,Transportation,50–100K
machine learning researcher,"computer vision, hadoop, git, aws",205357.0,Ex,Education,200K+
ai architect,"tensorflow, linux, sql, hadoop",165676.0,Ex,Government,150–200K
computer vision engineer,"sql, scala, python",114658.0,Se,Telecommunications,100–150K
data scientist,"nlp, computer vision, mathematics, statistics, r",143149.0,Se,Real Estate,100–150K
machine learning researcher,"azure, r, linux, mlops",116276.0,Se,Technology,100–150K
nlp engineer,"r, aws, computer vision, statistics, docker",61055.0,En,Retail,50–100K
ml ops engineer,"kubernetes, sql, azure, deep learning, linux",50303.0,En,Gaming,50–100K
data analyst,"pytorch, sql, mlops, aws, tensorflow",65570.0,Se,Retail,50–100K
ai software engineer,"mlops, r, git, mathematics",231078.0,Ex,Consulting,200K+
ai product manager,"linux, scala, sql, git",106633.0,Se,Automotive,100–150K
ai specialist,"git, deep learning, kubernetes, linux, gcp",121180.0,Se,Media,100–150K
principal data scientist,"git, sql, scala, python, computer vision",64531.0,En,Retail,50–100K
machine learning engineer,"python, tableau, java",125654.0,Mi,Automotive,100–150K
machine learning researcher,"docker, aws, linux, git, azure",182275.0,Ex,Technology,150–200K
machine learning researcher,"pytorch, scala, linux, tableau, deep learning",117708.0,Mi,Transportation,100–150K
data engineer,"docker, sql, kubernetes, git, statistics",143246.0,Ex,Healthcare,100–150K
ai product manager,"statistics, r, python, tensorflow",203198.0,Se,Consulting,200K+
research scientist,"kubernetes, azure, spark, tensorflow, linux",69487.0,En,Transportation,50–100K
ai product manager,"gcp, r, azure, deep learning, pytorch",95673.0,Ex,Technology,50–100K
ai software engineer,"spark, python, deep learning, linux, java",59405.0,En,Consulting,50–100K
ai specialist,"aws, r, spark",131756.0,Se,Technology,100–150K
ai software engineer,"python, tensorflow, pytorch",42835.0,En,Media,<50K
autonomous systems engineer,"statistics, python, sql",61893.0,En,Consulting,50–100K
ml ops engineer,"hadoop, azure, python, r",141791.0,Ex,Media,100–150K
ai product manager,"computer vision, gcp, azure, sql, python",258637.0,Ex,Education,200K+
nlp engineer,"hadoop, java, data visualization",49485.0,Mi,Technology,<50K
robotics engineer,"computer vision, sql, pytorch, java",172916.0,Se,Manufacturing,150–200K
machine learning engineer,"hadoop, python, git, tensorflow",324557.0,Ex,Telecommunications,200K+
ai consultant,"pytorch, statistics, mlops, kubernetes, computer vision",73894.0,Mi,Consulting,50–100K
principal data scientist,"linux, aws, computer vision, deep learning",122598.0,Se,Media,100–150K
data scientist,"pytorch, tensorflow, hadoop, python",94478.0,Mi,Retail,50–100K
autonomous systems engineer,"gcp, kubernetes, computer vision, deep learning, sql",53088.0,En,Finance,50–100K
machine learning researcher,"sql, mlops, python",116012.0,Mi,Automotive,100–150K
deep learning engineer,"python, hadoop, deep learning",35593.0,En,Media,<50K
ai product manager,"gcp, linux, r, hadoop",149053.0,Ex,Media,100–150K
principal data scientist,"tensorflow, git, azure, python",88230.0,Mi,Education,50–100K
ai research scientist,"kubernetes, deep learning, pytorch",224919.0,Ex,Education,200K+
machine learning researcher,"sql, data visualization, gcp, deep learning, mlops",220439.0,Ex,Manufacturing,200K+
nlp engineer,"gcp, python, computer vision, git",48861.0,En,Healthcare,<50K
ai specialist,"tensorflow, kubernetes, deep learning",115841.0,Se,Healthcare,100–150K
nlp engineer,"computer vision, pytorch, linux, tensorflow",57266.0,Mi,Media,50–100K
deep learning engineer,"git, tableau, hadoop, computer vision",66384.0,Mi,Government,50–100K
data analyst,"r, sql, data visualization",184637.0,Ex,Government,150–200K
ai research scientist,"linux, python, scala, docker",92445.0,Mi,Technology,50–100K
machine learning researcher,"python, gcp, tensorflow",57388.0,En,Consulting,50–100K
head of ai,"docker, deep learning, r",53374.0,Mi,Government,50–100K
ai research scientist,"git, spark, azure, statistics",95716.0,Se,Media,50–100K
nlp engineer,"python, java, kubernetes, sql, nlp",157091.0,Mi,Transportation,150–200K
ml ops engineer,"hadoop, mathematics, linux",204144.0,Se,Telecommunications,200K+
ai software engineer,"gcp, computer vision, scala, aws, linux",190314.0,Ex,Government,150–200K
principal data scientist,"data visualization, sql, scala",198403.0,Ex,Media,150–200K
research scientist,"sql, tableau, statistics, gcp",153040.0,Se,Manufacturing,150–200K
ai software engineer,"deep learning, python, nlp",51898.0,Mi,Consulting,50–100K
ai architect,"r, aws, git, tableau",115191.0,Se,Education,100–150K
ml ops engineer,"python, spark, hadoop",170139.0,Se,Technology,150–200K
ml ops engineer,"linux, tensorflow, gcp, docker, azure",63860.0,En,Gaming,50–100K
nlp engineer,"tensorflow, docker, aws, spark",125152.0,Mi,Retail,100–150K
ai software engineer,"linux, azure, kubernetes",61572.0,En,Healthcare,50–100K
head of ai,"statistics, tableau, java, data visualization, nlp",101054.0,Mi,Transportation,100–150K
data engineer,"spark, linux, aws, deep learning",145355.0,Ex,Media,100–150K
deep learning engineer,"scala, data visualization, tensorflow, mathematics, java",183484.0,Ex,Gaming,150–200K
ai product manager,"pytorch, scala, hadoop, docker, computer vision",111997.0,Mi,Technology,100–150K
ai specialist,"tableau, gcp, python",214195.0,Ex,Manufacturing,200K+
ai software engineer,"python, tensorflow, gcp, java",93211.0,Se,Manufacturing,50–100K
deep learning engineer,"statistics, tensorflow, python",82209.0,En,Transportation,50–100K
ai software engineer,"scala, hadoop, azure",149669.0,Se,Retail,100–150K
ai software engineer,"linux, azure, git, deep learning, spark",56825.0,Mi,Government,50–100K
research scientist,"kubernetes, git, gcp, nlp",131635.0,Mi,Manufacturing,100–150K
nlp engineer,"scala, python, data visualization, kubernetes, statistics",163843.0,Se,Telecommunications,150–200K
ai consultant,"deep learning, azure, python",73281.0,Mi,Technology,50–100K
principal data scientist,"statistics, aws, java, pytorch",51907.0,Mi,Technology,50–100K
nlp engineer,"python, spark, tensorflow",178240.0,Ex,Real Estate,150–200K
machine learning researcher,"sql, docker, linux, gcp",83226.0,Se,Technology,50–100K
ai product manager,"pytorch, nlp, mlops, azure",46995.0,En,Finance,<50K
ai research scientist,"docker, azure, nlp",275296.0,Ex,Transportation,200K+
deep learning engineer,"python, tensorflow, r",300422.0,Ex,Education,200K+
ai product manager,"sql, pytorch, nlp, data visualization",116704.0,Mi,Finance,100–150K
ai specialist,"java, python, mathematics",98422.0,En,Transportation,50–100K
machine learning researcher,"mathematics, docker, deep learning",210249.0,Ex,Gaming,200K+
nlp engineer,"nlp, r, scala, computer vision, azure",67708.0,Mi,Manufacturing,50–100K
data engineer,"python, tensorflow, scala, aws",95796.0,Ex,Consulting,50–100K
head of ai,"pytorch, sql, kubernetes, git, java",229098.0,Ex,Government,200K+
ml ops engineer,"java, python, deep learning, statistics",134300.0,Ex,Education,100–150K
ai specialist,"tensorflow, docker, r, nlp, java",74408.0,En,Automotive,50–100K
ai architect,"java, scala, tableau",201971.0,Ex,Technology,200K+
ai software engineer,"gcp, tensorflow, data visualization",180764.0,Ex,Gaming,150–200K
principal data scientist,"linux, pytorch, tensorflow, azure, python",49644.0,En,Finance,<50K
ai product manager,"mlops, python, linux, nlp",89115.0,Se,Energy,50–100K
ai software engineer,"linux, kubernetes, spark, java",38540.0,En,Technology,<50K
ai product manager,"tensorflow, kubernetes, sql, linux, mathematics",180252.0,Se,Telecommunications,150–200K
robotics engineer,"mlops, java, aws, nlp, pytorch",56585.0,En,Gaming,50–100K
ai specialist,"statistics, python, tensorflow",103942.0,Se,Education,100–150K
autonomous systems engineer,"pytorch, sql, tensorflow, git, azure",176009.0,Se,Automotive,150–200K
ai specialist,"scala, sql, deep learning, statistics, gcp",59056.0,Mi,Healthcare,50–100K
ai consultant,"aws, scala, docker",76940.0,Mi,Transportation,50–100K
machine learning engineer,"spark, kubernetes, mathematics",110341.0,Se,Retail,100–150K
data scientist,"python, sql, git",102922.0,Mi,Government,100–150K
machine learning researcher,"python, gcp, docker, git, java",44130.0,En,Technology,<50K
data engineer,"mathematics, hadoop, tableau",128112.0,Se,Telecommunications,100–150K
data analyst,"linux, python, nlp",48892.0,En,Consulting,<50K
research scientist,"java, docker, hadoop",127478.0,Mi,Transportation,100–150K
ai research scientist,"python, kubernetes, statistics, tensorflow",100524.0,Se,Gaming,100–150K
deep learning engineer,"gcp, deep learning, python, mlops",45429.0,En,Gaming,<50K
ml ops engineer,"r, sql, aws, mlops, data visualization",62262.0,Mi,Healthcare,50–100K
ai specialist,"azure, python, tensorflow, data visualization",68595.0,Mi,Manufacturing,50–100K
ai software engineer,"gcp, azure, deep learning, spark, sql",301038.0,Ex,Media,200K+
robotics engineer,"mlops, data visualization, git, tensorflow, hadoop",46253.0,En,Government,<50K
nlp engineer,"r, docker, gcp, java",59644.0,En,Consulting,50–100K
principal data scientist,"pytorch, mlops, computer vision, aws, deep learning",53960.0,Mi,Telecommunications,50–100K
computer vision engineer,"aws, hadoop, python, scala, computer vision",94894.0,En,Real Estate,50–100K
autonomous systems engineer,"pytorch, sql, kubernetes",91611.0,Se,Finance,50–100K
nlp engineer,"sql, linux, tableau, mlops, spark",285880.0,Ex,Finance,200K+
ai architect,"mathematics, hadoop, scala, nlp, kubernetes",115263.0,Mi,Finance,100–150K
research scientist,"scala, r, sql",51882.0,Mi,Technology,50–100K
data scientist,"java, python, mlops, docker",82051.0,Mi,Automotive,50–100K
ml ops engineer,"sql, nlp, python",122331.0,Se,Retail,100–150K
ai product manager,"data visualization, linux, gcp, hadoop",159643.0,Se,Gaming,150–200K
research scientist,"hadoop, python, linux, mathematics",254305.0,Ex,Transportation,200K+
data analyst,"kubernetes, linux, tableau, mlops, statistics",52027.0,Mi,Retail,50–100K
robotics engineer,"docker, pytorch, spark, tensorflow, nlp",43072.0,En,Energy,<50K
research scientist,"tableau, linux, pytorch, java, aws",87011.0,Mi,Gaming,50–100K
ai research scientist,"azure, python, mathematics",36734.0,En,Media,<50K
head of ai,"tensorflow, linux, deep learning, hadoop",84897.0,Mi,Manufacturing,50–100K
ai research scientist,"tensorflow, azure, tableau, data visualization, hadoop",173839.0,Se,Government,150–200K
ml ops engineer,"nlp, tableau, kubernetes, sql, gcp",59357.0,En,Transportation,50–100K
data scientist,"scala, python, data visualization",51431.0,En,Transportation,50–100K
autonomous systems engineer,"hadoop, spark, kubernetes, scala",96506.0,Se,Finance,50–100K
data analyst,"linux, kubernetes, data visualization, tensorflow, docker",59198.0,En,Manufacturing,50–100K
machine learning engineer,"git, statistics, data visualization, python, scala",223757.0,Ex,Education,200K+
deep learning engineer,"hadoop, spark, tableau, r, python",74322.0,En,Gaming,50–100K
research scientist,"tensorflow, mlops, kubernetes, sql, java",120749.0,Mi,Retail,100–150K
nlp engineer,"hadoop, azure, java, mlops",138212.0,Ex,Media,100–150K
robotics engineer,"git, docker, statistics, mathematics",199039.0,Ex,Real Estate,150–200K
ai specialist,"spark, git, hadoop",105699.0,Se,Healthcare,100–150K
research scientist,"python, mathematics, pytorch, spark",38497.0,En,Consulting,<50K
ai product manager,"r, azure, mlops",63141.0,Mi,Manufacturing,50–100K
ai specialist,"git, statistics, mathematics, hadoop, java",87871.0,Se,Telecommunications,50–100K
research scientist,"sql, statistics, mathematics, tensorflow, gcp",255678.0,Ex,Telecommunications,200K+
data analyst,"java, azure, tableau, python",132056.0,Se,Gaming,100–150K
ai research scientist,"git, scala, nlp, python",146085.0,Se,Technology,100–150K
data engineer,"pytorch, python, deep learning, sql, mlops",85037.0,Mi,Finance,50–100K
ai product manager,"python, linux, tableau, sql, mlops",42661.0,En,Finance,<50K
deep learning engineer,"tensorflow, hadoop, python, java, docker",119706.0,Se,Retail,100–150K
computer vision engineer,"pytorch, java, kubernetes",110064.0,Ex,Finance,100–150K
research scientist,"azure, pytorch, nlp, tensorflow",91090.0,Se,Telecommunications,50–100K
principal data scientist,"spark, java, gcp",80307.0,Mi,Retail,50–100K
ai product manager,"sql, python, gcp",107321.0,Mi,Technology,100–150K
head of ai,"python, gcp, mathematics, scala, deep learning",59373.0,En,Gaming,50–100K
machine learning researcher,"gcp, python, azure, scala",65191.0,En,Education,50–100K
robotics engineer,"tensorflow, pytorch, spark",152969.0,Ex,Government,150–200K
research scientist,"r, python, data visualization, tensorflow",147893.0,Se,Healthcare,100–150K
principal data scientist,"data visualization, scala, python, sql, linux",69807.0,En,Transportation,50–100K
ai software engineer,"java, aws, gcp, spark",67824.0,En,Gaming,50–100K
data engineer,"aws, mathematics, linux",141523.0,Ex,Manufacturing,100–150K
data analyst,"scala, aws, spark, deep learning",122796.0,Se,Healthcare,100–150K
ai consultant,"scala, gcp, mlops, python, computer vision",81885.0,Mi,Retail,50–100K
data analyst,"scala, mathematics, mlops, python",118505.0,Se,Government,100–150K
robotics engineer,"r, git, statistics, spark, python",133565.0,Se,Media,100–150K
data analyst,"java, kubernetes, tableau",60019.0,En,Government,50–100K
ml ops engineer,"docker, hadoop, pytorch, python, java",76875.0,En,Transportation,50–100K
deep learning engineer,"aws, r, python",64400.0,En,Transportation,50–100K
autonomous systems engineer,"mlops, data visualization, deep learning, python",68857.0,Mi,Government,50–100K
computer vision engineer,"r, linux, aws",97840.0,Se,Technology,50–100K
machine learning engineer,"azure, git, sql, nlp, docker",168619.0,Ex,Automotive,150–200K
machine learning researcher,"git, nlp, mlops",118132.0,Se,Education,100–150K
principal data scientist,"java, git, data visualization, sql, kubernetes",81112.0,Se,Consulting,50–100K
head of ai,"git, java, mlops",111502.0,Mi,Energy,100–150K
nlp engineer,"tensorflow, kubernetes, git, computer vision, statistics",151610.0,Se,Retail,150–200K
machine learning engineer,"linux, statistics, mlops, computer vision, deep learning",95128.0,Se,Government,50–100K
machine learning engineer,"tableau, gcp, sql, mlops",136733.0,Se,Gaming,100–150K
ml ops engineer,"gcp, r, python, kubernetes",69822.0,Mi,Finance,50–100K
machine learning researcher,"azure, python, data visualization",88380.0,En,Automotive,50–100K
nlp engineer,"pytorch, scala, nlp, gcp",199482.0,Ex,Transportation,150–200K
deep learning engineer,"java, hadoop, deep learning, tensorflow",56268.0,Mi,Automotive,50–100K
data engineer,"deep learning, statistics, docker",142301.0,Ex,Telecommunications,100–150K
nlp engineer,"spark, python, tableau",178371.0,Ex,Energy,150–200K
computer vision engineer,"tableau, sql, mlops, pytorch",157412.0,Ex,Government,150–200K
ai software engineer,"docker, tensorflow, hadoop, git, scala",250562.0,Ex,Government,200K+
data engineer,"tableau, aws, nlp, scala",167401.0,Ex,Manufacturing,150–200K
computer vision engineer,"git, sql, spark, mlops",85328.0,En,Consulting,50–100K
ai consultant,"tableau, linux, sql, spark, gcp",94160.0,Se,Automotive,50–100K
nlp engineer,"hadoop, sql, computer vision",147732.0,Ex,Gaming,100–150K
autonomous systems engineer,"sql, mlops, data visualization, scala, git",50749.0,En,Government,50–100K
ai consultant,"data visualization, hadoop, scala, aws",222223.0,Ex,Retail,200K+
data analyst,"mathematics, scala, mlops, sql",47958.0,En,Gaming,<50K
data scientist,"r, sql, scala",52877.0,En,Retail,50–100K
ai research scientist,"git, aws, pytorch",138782.0,Ex,Finance,100–150K
ai specialist,"computer vision, sql, java, gcp",66150.0,Se,Finance,50–100K
principal data scientist,"python, tensorflow, git, pytorch, mlops",178470.0,Ex,Energy,150–200K
deep learning engineer,"aws, sql, azure",62936.0,Mi,Technology,50–100K
machine learning engineer,"mathematics, r, mlops",159003.0,Ex,Real Estate,150–200K
computer vision engineer,"r, python, azure, java",98694.0,Ex,Education,50–100K
data engineer,"kubernetes, scala, data visualization",50471.0,En,Energy,50–100K
ai software engineer,"deep learning, kubernetes, sql",104460.0,Mi,Transportation,100–150K
research scientist,"kubernetes, scala, pytorch, aws, docker",63711.0,En,Healthcare,50–100K
data analyst,"python, kubernetes, scala, linux",64384.0,En,Consulting,50–100K
ai architect,"git, python, scala, aws",223296.0,Se,Healthcare,200K+
autonomous systems engineer,"hadoop, gcp, mlops, statistics",73372.0,Se,Real Estate,50–100K
machine learning researcher,"hadoop, python, kubernetes",92458.0,Mi,Manufacturing,50–100K
ai product manager,"git, python, tensorflow, sql",80483.0,Mi,Government,50–100K
machine learning researcher,"linux, gcp, statistics, nlp, azure",71730.0,Mi,Technology,50–100K
machine learning researcher,"r, git, computer vision",186565.0,Ex,Retail,150–200K
robotics engineer,"linux, sql, pytorch, nlp, git",114225.0,Se,Consulting,100–150K
ai software engineer,"sql, computer vision, linux, data visualization, git",160286.0,Ex,Retail,150–200K
head of ai,"python, spark, tensorflow",60957.0,Mi,Real Estate,50–100K
autonomous systems engineer,"java, mlops, tensorflow",90148.0,Mi,Real Estate,50–100K
data analyst,"nlp, sql, python",105723.0,Se,Education,100–150K
data scientist,"docker, python, mathematics",388754.0,Ex,Transportation,200K+
ai consultant,"kubernetes, mathematics, git, pytorch",45129.0,En,Technology,<50K
data engineer,"python, tensorflow, tableau, linux, java",68001.0,Mi,Technology,50–100K
robotics engineer,"spark, data visualization, sql, tensorflow, gcp",51736.0,En,Government,50–100K
data scientist,"python, mathematics, deep learning, tensorflow, aws",112035.0,Se,Consulting,100–150K
data engineer,"linux, r, scala",55619.0,En,Gaming,50–100K
ai research scientist,"python, tensorflow, tableau",56796.0,En,Gaming,50–100K
robotics engineer,"sql, pytorch, azure",61808.0,En,Healthcare,50–100K
ai consultant,"pytorch, sql, java, git",78751.0,Mi,Gaming,50–100K
ai architect,"scala, linux, docker, git",238449.0,Ex,Gaming,200K+
ai research scientist,"mathematics, pytorch, azure",81908.0,En,Consulting,50–100K
machine learning engineer,"scala, linux, python",79556.0,Se,Consulting,50–100K
nlp engineer,"data visualization, pytorch, sql, computer vision, gcp",70609.0,En,Healthcare,50–100K
principal data scientist,"deep learning, sql, data visualization, nlp, tableau",100354.0,Mi,Government,100–150K
nlp engineer,"kubernetes, java, computer vision",62606.0,Mi,Technology,50–100K
nlp engineer,"tableau, linux, java, kubernetes, computer vision",44279.0,En,Technology,<50K
research scientist,"statistics, git, data visualization",36995.0,En,Technology,<50K
principal data scientist,"pytorch, sql, aws, spark",193149.0,Ex,Consulting,150–200K
data scientist,"r, kubernetes, tensorflow, data visualization",88722.0,Mi,Government,50–100K
data scientist,"tensorflow, aws, git, azure",145098.0,Se,Gaming,100–150K
ai consultant,"mathematics, git, linux",83381.0,Mi,Energy,50–100K
autonomous systems engineer,"python, data visualization, azure",46591.0,En,Real Estate,<50K
data scientist,"pytorch, mathematics, linux",99604.0,Ex,Education,50–100K
ai research scientist,"spark, statistics, tableau, deep learning",262339.0,Ex,Energy,200K+
machine learning researcher,"kubernetes, aws, nlp, git",58899.0,En,Consulting,50–100K
research scientist,"sql, tableau, pytorch, nlp, gcp",109939.0,Mi,Transportation,100–150K
nlp engineer,"scala, docker, data visualization",32587.0,En,Real Estate,<50K
robotics engineer,"scala, python, gcp, aws",102069.0,Mi,Healthcare,100–150K
ai specialist,"tableau, azure, aws, data visualization",153376.0,Ex,Education,150–200K
autonomous systems engineer,"sql, mathematics, linux, scala, hadoop",92574.0,En,Education,50–100K
